time,discharge
0,1.1
300,8.3
600,16.7
900,25.0
1200,33.3
1500,41.7
1800,50.0
2100,58.3
2400,66.7
2700,75.0
3000,83.3
3300,91.7
3600,100.0
3900,95.3
4200,90.6
4500,85.9
4800,81.3
5100,76.6
5400,71.9
5700,67.2
6000,62.5
6300,57.8
6600,53.1
6900,48.4
7200,43.8
7500,39.1
7800,34.4
8100,29.7
8400,25.0
8700,20.3
9000,15.6
9300,10.9
9600,6.3
9900,1.6
10200,1.1
10500,1.1
10800,1.1
11100,1.1
11400,1.1
11700,1.1
12000,1.1
12300,1.1
12600,1.1
12900,1.1
13200,1.1
13500,1.1
13800,1.1
14100,1.1
14400,1.1
14700,1.1
15000,1.1
15300,1.1
15600,1.1
15900,1.1
16200,1.1
16500,1.1
16800,1.1
17100,1.1
17400,1.1
17700,1.1
18000,1.1
100000,1.1
