Rating Curve at Section1								Discharge
Stage	Discharge		Depth					
268.58	2000		270.58					
269.65	3000		271.65					
280.32	17000		282.32					
282.05	24000		284.05					
287.07	56000		289.07					
								
Time	Q_10	Q_14	Time	Q10	Q14	Time	Q10	Q14
0	2000	500	0	50	5	0	200	20
1	5410.7	9303.5	1	930.35	93.035	1	541.07	54.107
2	16552.8	11182.8	2	1118.28	111.828	2	1655.28	165.528
3	30365.7	10831.9	3	1083.19	108.319	3	3036.57	303.657
4	39411.6	6944.2	4	694.42	69.442	4	3941.16	394.116
5	40111.9	6359.3	5	635.93	63.593	5	4011.19	401.119
6	36978.2	5829.2	6	582.92	58.292	6	3697.82	369.782
7	33453.6	5291.8	7	529.18	52.918	7	3345.36	334.536
8	33790.3	13092.6	8	1309.26	130.926	8	3379.03	337.903
9	39048.2	7916.8	9	791.68	79.168	9	3904.82	390.482
10	42683.4	9450.9	10	945.09	94.509	10	4268.34	426.834
11	44943.9	10746.9	11	1074.69	107.469	11	4494.39	449.439
12	47230.8	11668.4	12	1166.84	116.684	12	4723.08	472.308
13	47748.5	3398.6	13	339.86	33.986	13	4774.85	477.485
14	40036.3	1055.4	14	105.54	10.554	14	4003.63	400.363
15	27756.3	593.7	15	59.37	5.937	15	2775.63	277.563
16	17005.6	500	16	50	5	16	1700.56	170.056
17	10659.7	500	17	50	5	17	1065.97	106.597
18	7067.8	500	18	50	5	18	706.78	70.678
19	4918.7	500	19	50	5	19	491.87	49.187
20	3680.7	500	20	50	5	20	368.07	36.807
21	2965.3	500	21	50	5	21	296.53	29.653
22	2525.9	500	22	50	5	22	252.59	25.259
23	2291.2	500	23	50	5	23	229.12	22.912
24	2144.8	500	24	50	5	24	214.48	21.448
