Time	Q_10	Q_14		Q_10	Q_14
0	2000	500		2500	500
1	2345.52	930.35		3275.87	930.35
2	2691.05	1118.28		3809.33	1118.28
3	3036.57	1083.19		4119.76	1083.19
4	3941.16	694.42		4635.58	694.42
5	4011.19	635.93		4647.12	635.93
6	3697.82	582.92		4280.74	582.92
7	3345.36	529.18		3874.54	529.18
8	3379.03	1309.26		4688.29	1309.26
9	3904.82	791.68		4696.5	791.68
10	4268.34	945.09		5213.43	945.09
11	4494.39	1074.69		5569.08	1074.69
12	4723.08	1166.84		5889.92	1166.84
13	4774.85	500		5274.85	500
14	4003.63	500		4503.63	500
15	2775.63	500		3275.63	500
16	2000	500		2500	500
17	2000	500		2500	500
18	2000	500		2500	500
19	2000	500		2500	500
20	2000	500		2500	500
21	2000	500		2500	500
22	2000	500		2500	500
23	2000	500		2500	500
24	2000	500		2500	500
25	2000	500		2500	500
26	2000	500		2500	500
27	2000	500		2500	500
28	2000	500		2500	500
29	2000	500		2500	500
30	2000	500		2500	500
31	2000	500		2500	500
32	2000	500		2500	500
33	2000	500		2500	500
34	2000	500		2500	500
35	2000	500		2500	500
36	2000	500		2500	500
37	2000	500		2500	500
38	2000	500		2500	500
39	2000	500		2500	500
40	2000	500		2500	500
41	2000	500		2500	500
42	2000	500		2500	500
43	2000	500		2500	500
44	2000	500		2500	500
45	2000	500		2500	500
46	2000	500		2500	500
47	2000	500		2500	500
48	2000	500		2500	500
49	2000	500		2500	500
50	2000	500		2500	500
51	2000	500		2500	500
52	2000	500		2500	500
53	2000	500		2500	500
54	2000	500		2500	500
55	2000	500		2500	500
56	2000	500		2500	500
57	2000	500		2500	500
58	2000	500		2500	500
59	2000	500		2500	500
60	2000	500		2500	500
61	2000	500		2500	500
62	2000	500		2500	500
63	2000	500		2500	500
64	2000	500		2500	500
65	2000	500		2500	500
66	2000	500		2500	500
67	2000	500		2500	500
68	2000	500		2500	500
69	2000	500		2500	500
70	2000	500		2500	500
71	2000	500		2500	500
72	2000	500		2500	500
73	2000	500		2500	500
74	2000	500		2500	500
75	2000	500		2500	500
76	2000	500		2500	500
77	2000	500		2500	500
78	2000	500		2500	500
79	2000	500		2500	500
80	2000	500		2500	500
81	2000	500		2500	500
82	2000	500		2500	500
83	2000	500		2500	500
84	2000	500		2500	500
85	2000	500		2500	500
86	2000	500		2500	500
87	2000	500		2500	500
88	2000	500		2500	500
89	2000	500		2500	500
90	2000	500		2500	500
91	2000	500		2500	500
92	2000	500		2500	500
93	2000	500		2500	500
94	2000	500		2500	500
95	2000	500		2500	500
96	2000	500		2500	500
97	2000	500		2500	500
98	2000	500		2500	500
99	2000	500		2500	500
