     X                     1              2              3              4              5              6              7              8              9             10             11             12             13             14             15             16             17             18
            1  0.5632298E+01  0.5500054E+01  0.5367811E+01  0.5235568E+01  0.5103325E+01  0.1076777E+02  0.1643221E+02  0.2209665E+02  0.2776109E+02  0.3342553E+02  0.3908998E+02  0.4475442E+02  0.5041886E+02  0.5608330E+02  0.5976451E+02  0.6344573E+02  0.6712694E+02  0.7080815E+02
            2  0.5584986E+02  0.5564816E+02  0.5544646E+02  0.5524477E+02  0.5504307E+02  0.6062109E+02  0.6619911E+02  0.7177714E+02  0.7735516E+02  0.8293318E+02  0.8851120E+02  0.9408922E+02  0.9966725E+02  0.1052453E+03  0.1089980E+03  0.1127508E+03  0.1165035E+03  0.1202562E+03
            3  0.1297132E+03  0.1293830E+03  0.1289860E+03  0.1285113E+03  0.1279355E+03  0.1248742E+03  0.1269476E+03  0.1309009E+03  0.1357621E+03  0.1412274E+03  0.1472537E+03  0.1539950E+03  0.1619295E+03  0.1723193E+03  0.1760375E+03  0.1798198E+03  0.1836306E+03  0.1874486E+03
            4  0.1912734E+03  0.1908326E+03  0.1903475E+03  0.1898129E+03  0.1892254E+03  0.1860343E+03  0.1866529E+03  0.1895435E+03  0.1938557E+03  0.1992313E+03  0.2056201E+03  0.2132504E+03  0.2227701E+03  0.2357140E+03  0.2397721E+03  0.2438186E+03  0.2478493E+03  0.2518564E+03
            5  0.2502790E+03  0.2497661E+03  0.2492314E+03  0.2486679E+03  0.2480682E+03  0.2450163E+03  0.2451018E+03  0.2474223E+03  0.2513870E+03  0.2567005E+03  0.2633244E+03  0.2714741E+03  0.2816809E+03  0.2949636E+03  0.2992538E+03  0.3035450E+03  0.3078398E+03  0.3121442E+03
            6  0.3065175E+03  0.3059697E+03  0.3054231E+03  0.3048703E+03  0.3043039E+03  0.3022567E+03  0.3023230E+03  0.3044119E+03  0.3081963E+03  0.3134698E+03  0.3202085E+03  0.3285792E+03  0.3389044E+03  0.3513328E+03  0.3557606E+03  0.3602226E+03  0.3647276E+03  0.3692934E+03
            7  0.3626729E+03  0.3621195E+03  0.3615934E+03  0.3610871E+03  0.3605929E+03  0.3583385E+03  0.3584379E+03  0.3604811E+03  0.3642022E+03  0.3694498E+03  0.3762113E+03  0.3846242E+03  0.3949867E+03  0.4078541E+03  0.4123179E+03  0.4168420E+03  0.4214437E+03  0.4261455E+03
            8  0.4166578E+03  0.4161277E+03  0.4156521E+03  0.4152212E+03  0.4148240E+03  0.4131347E+03  0.4134910E+03  0.4156365E+03  0.4193792E+03  0.4246095E+03  0.4313190E+03  0.4396125E+03  0.4497140E+03  0.4619719E+03  0.4663529E+03  0.4708074E+03  0.4753520E+03  0.4800036E+03
            9  0.4692796E+03  0.4688015E+03  0.4684106E+03  0.4680916E+03  0.4678269E+03  0.4668186E+03  0.4675668E+03  0.4699192E+03  0.4737445E+03  0.4789630E+03  0.4855648E+03  0.4936200E+03  0.5032802E+03  0.5147593E+03  0.5189446E+03  0.5232157E+03  0.5275847E+03  0.5320643E+03
           10  0.5206807E+03  0.5203016E+03  0.5200450E+03  0.5198922E+03  0.5198248E+03  0.5195464E+03  0.5207640E+03  0.5233933E+03  0.5273452E+03  0.5325583E+03  0.5390160E+03  0.5467545E+03  0.5558659E+03  0.5664921E+03  0.5704093E+03  0.5744158E+03  0.5785222E+03  0.5827389E+03
