     X                     1              2              3              4              5              6              7              8              9             10             11             12             13             14             15             16             17             18             19             20             21             22             23             24             25             26             27             28             29             30             31             32             33             34             35             36             37             38             39             40             41             42
            1  0.7916429E+05  0.7916543E+05  0.7916773E+05  0.7917002E+05  0.7917231E+05  0.7917432E+05  0.7917604E+05  0.7917776E+05  0.7917948E+05  0.7918121E+05  0.7918293E+05  0.7918465E+05  0.7918637E+05  0.7918809E+05  0.7918982E+05  0.7919154E+05  0.7919326E+05  0.7919498E+05  0.7919670E+05  0.7919843E+05  0.7920015E+05  0.7920187E+05  0.7920359E+05  0.7920531E+05  0.7920704E+05  0.7920876E+05  0.7921048E+05  0.7921220E+05  0.7921392E+05  0.7921564E+05  0.7921737E+05  0.7921909E+05  0.7922081E+05  0.7922253E+05  0.7922425E+05  0.7922598E+05  0.7922770E+05  0.7922942E+05  0.7923114E+05  0.7923271E+05  0.7923412E+05  0.7923482E+05
            2  0.7918619E+05  0.7918733E+05  0.7918963E+05  0.7919192E+05  0.7919421E+05  0.7919622E+05  0.7919794E+05  0.7919966E+05  0.7920138E+05  0.7920311E+05  0.7920483E+05  0.7920655E+05  0.7920827E+05  0.7920999E+05  0.7921172E+05  0.7921344E+05  0.7921516E+05  0.7921688E+05  0.7921860E+05  0.7922033E+05  0.7922205E+05  0.7922377E+05  0.7922549E+05  0.7922721E+05  0.7922894E+05  0.7923066E+05  0.7923238E+05  0.7923410E+05  0.7923582E+05  0.7923755E+05  0.7923927E+05  0.7924099E+05  0.7924271E+05  0.7924443E+05  0.7924616E+05  0.7924788E+05  0.7924960E+05  0.7925132E+05  0.7925304E+05  0.7925461E+05  0.7925602E+05  0.7925673E+05
            3  0.7924044E+05  0.7924137E+05  0.7924294E+05  0.7924416E+05  0.7924706E+05  0.7925028E+05  0.7925199E+05  0.7925363E+05  0.7925522E+05  0.7925680E+05  0.7925836E+05  0.7925992E+05  0.7926149E+05  0.7926307E+05  0.7926466E+05  0.7926627E+05  0.7926790E+05  0.7926954E+05  0.7927120E+05  0.7927287E+05  0.7927457E+05  0.7927628E+05  0.7927801E+05  0.7927976E+05  0.7928153E+05  0.7928332E+05  0.7928513E+05  0.7928697E+05  0.7928882E+05  0.7929070E+05  0.7929260E+05  0.7929452E+05  0.7929646E+05  0.7929843E+05  0.7930041E+05  0.7930241E+05  0.7930442E+05  0.7930643E+05  0.7930843E+05  0.7931010E+05  0.7931149E+05  0.7931218E+05
            4  0.7931232E+05  0.7931203E+05  0.7931151E+05  0.7931121E+05  0.7931312E+05  0.7931573E+05  0.7931695E+05  0.7931813E+05  0.7931929E+05  0.7932044E+05  0.7932161E+05  0.7932281E+05  0.7932405E+05  0.7932532E+05  0.7932664E+05  0.7932801E+05  0.7932944E+05  0.7933091E+05  0.7933244E+05  0.7933402E+05  0.7933565E+05  0.7933735E+05  0.7933910E+05  0.7934090E+05  0.7934277E+05  0.7934469E+05  0.7934667E+05  0.7934872E+05  0.7935084E+05  0.7935302E+05  0.7935527E+05  0.7935759E+05  0.7935998E+05  0.7936245E+05  0.7936499E+05  0.7936760E+05  0.7937027E+05  0.7937297E+05  0.7937567E+05  0.7937864E+05  0.7938178E+05  0.7938328E+05
            5  0.7938461E+05  0.7938361E+05  0.7938208E+05  0.7938139E+05  0.7938149E+05  0.7938193E+05  0.7938234E+05  0.7938281E+05  0.7938335E+05  0.7938396E+05  0.7938465E+05  0.7938541E+05  0.7938627E+05  0.7938721E+05  0.7938823E+05  0.7938935E+05  0.7939056E+05  0.7939186E+05  0.7939325E+05  0.7939473E+05  0.7939631E+05  0.7939797E+05  0.7939973E+05  0.7940158E+05  0.7940353E+05  0.7940557E+05  0.7940771E+05  0.7940996E+05  0.7941231E+05  0.7941477E+05  0.7941735E+05  0.7942006E+05  0.7942289E+05  0.7942587E+05  0.7942901E+05  0.7943232E+05  0.7943582E+05  0.7943955E+05  0.7944355E+05  0.7944790E+05  0.7945234E+05  0.7945449E+05
            6  0.7944983E+05  0.7944924E+05  0.7944827E+05  0.7944776E+05  0.7944774E+05  0.7944761E+05  0.7944722E+05  0.7944696E+05  0.7944684E+05  0.7944686E+05  0.7944703E+05  0.7944734E+05  0.7944779E+05  0.7944838E+05  0.7944911E+05  0.7944997E+05  0.7945097E+05  0.7945209E+05  0.7945334E+05  0.7945473E+05  0.7945623E+05  0.7945786E+05  0.7945962E+05  0.7946151E+05  0.7946352E+05  0.7946566E+05  0.7946793E+05  0.7947034E+05  0.7947289E+05  0.7947559E+05  0.7947844E+05  0.7948145E+05  0.7948463E+05  0.7948801E+05  0.7949159E+05  0.7949541E+05  0.7949949E+05  0.7950389E+05  0.7950867E+05  0.7951317E+05  0.7951718E+05  0.7951917E+05
            7  0.7951621E+05  0.7951587E+05  0.7951512E+05  0.7951430E+05  0.7951339E+05  0.7951223E+05  0.7951100E+05  0.7950999E+05  0.7950920E+05  0.7950863E+05  0.7950828E+05  0.7950814E+05  0.7950820E+05  0.7950846E+05  0.7950891E+05  0.7950953E+05  0.7951033E+05  0.7951130E+05  0.7951243E+05  0.7951371E+05  0.7951516E+05  0.7951676E+05  0.7951851E+05  0.7952041E+05  0.7952247E+05  0.7952469E+05  0.7952706E+05  0.7952959E+05  0.7953229E+05  0.7953515E+05  0.7953820E+05  0.7954142E+05  0.7954483E+05  0.7954844E+05  0.7955226E+05  0.7955629E+05  0.7956054E+05  0.7956501E+05  0.7956968E+05  0.7957425E+05  0.7957853E+05  0.7958066E+05
            8  0.7958429E+05  0.7958407E+05  0.7958317E+05  0.7958134E+05  0.7957844E+05  0.7957546E+05  0.7957314E+05  0.7957126E+05  0.7956978E+05  0.7956865E+05  0.7956784E+05  0.7956732E+05  0.7956706E+05  0.7956705E+05  0.7956727E+05  0.7956771E+05  0.7956836E+05  0.7956920E+05  0.7957024E+05  0.7957145E+05  0.7957285E+05  0.7957442E+05  0.7957617E+05  0.7957809E+05  0.7958018E+05  0.7958245E+05  0.7958489E+05  0.7958752E+05  0.7959032E+05  0.7959330E+05  0.7959648E+05  0.7959985E+05  0.7960342E+05  0.7960719E+05  0.7961117E+05  0.7961537E+05  0.7961979E+05  0.7962443E+05  0.7962929E+05  0.7963412E+05  0.7963874E+05  0.7964102E+05
            9  0.7964649E+05  0.7964626E+05  0.7964517E+05  0.7964270E+05  0.7963865E+05  0.7963459E+05  0.7963168E+05  0.7962936E+05  0.7962753E+05  0.7962612E+05  0.7962508E+05  0.7962437E+05  0.7962395E+05  0.7962380E+05  0.7962391E+05  0.7962425E+05  0.7962481E+05  0.7962559E+05  0.7962657E+05  0.7962775E+05  0.7962913E+05  0.7963069E+05  0.7963244E+05  0.7963438E+05  0.7963650E+05  0.7963880E+05  0.7964130E+05  0.7964398E+05  0.7964686E+05  0.7964993E+05  0.7965320E+05  0.7965667E+05  0.7966035E+05  0.7966424E+05  0.7966835E+05  0.7967268E+05  0.7967724E+05  0.7968203E+05  0.7968708E+05  0.7969210E+05  0.7969694E+05  0.7969936E+05
           10  0.7969868E+05  0.7969868E+05  0.7969795E+05  0.7969567E+05  0.7969161E+05  0.7968780E+05  0.7968548E+05  0.7968353E+05  0.7968193E+05  0.7968067E+05  0.7967971E+05  0.7967905E+05  0.7967866E+05  0.7967853E+05  0.7967864E+05  0.7967899E+05  0.7967955E+05  0.7968033E+05  0.7968132E+05  0.7968250E+05  0.7968388E+05  0.7968546E+05  0.7968722E+05  0.7968917E+05  0.7969132E+05  0.7969365E+05  0.7969618E+05  0.7969890E+05  0.7970182E+05  0.7970495E+05  0.7970827E+05  0.7971181E+05  0.7971557E+05  0.7971954E+05  0.7972373E+05  0.7972814E+05  0.7973276E+05  0.7973760E+05  0.7974263E+05  0.7974767E+05  0.7975266E+05  0.7975518E+05
           11  0.7974543E+05  0.7974575E+05  0.7974562E+05  0.7974400E+05  0.7974092E+05  0.7973805E+05  0.7973636E+05  0.7973490E+05  0.7973369E+05  0.7973273E+05  0.7973201E+05  0.7973155E+05  0.7973131E+05  0.7973131E+05  0.7973152E+05  0.7973195E+05  0.7973259E+05  0.7973342E+05  0.7973446E+05  0.7973568E+05  0.7973709E+05  0.7973869E+05  0.7974047E+05  0.7974244E+05  0.7974460E+05  0.7974695E+05  0.7974949E+05  0.7975222E+05  0.7975516E+05  0.7975830E+05  0.7976166E+05  0.7976524E+05  0.7976904E+05  0.7977307E+05  0.7977735E+05  0.7978186E+05  0.7978661E+05  0.7979158E+05  0.7979675E+05  0.7980206E+05  0.7980759E+05  0.7981039E+05
           12  0.7979139E+05  0.7979182E+05  0.7979206E+05  0.7979104E+05  0.7978878E+05  0.7978665E+05  0.7978537E+05  0.7978430E+05  0.7978344E+05  0.7978279E+05  0.7978236E+05  0.7978214E+05  0.7978213E+05  0.7978231E+05  0.7978269E+05  0.7978326E+05  0.7978401E+05  0.7978494E+05  0.7978605E+05  0.7978734E+05  0.7978879E+05  0.7979042E+05  0.7979223E+05  0.7979420E+05  0.7979636E+05  0.7979869E+05  0.7980121E+05  0.7980392E+05  0.7980683E+05  0.7980995E+05  0.7981328E+05  0.7981684E+05  0.7982064E+05  0.7982471E+05  0.7982905E+05  0.7983369E+05  0.7983866E+05  0.7984399E+05  0.7984970E+05  0.7985581E+05  0.7986225E+05  0.7986551E+05
           13  0.7983707E+05  0.7983761E+05  0.7983819E+05  0.7983767E+05  0.7983570E+05  0.7983373E+05  0.7983273E+05  0.7983198E+05  0.7983146E+05  0.7983114E+05  0.7983103E+05  0.7983110E+05  0.7983134E+05  0.7983176E+05  0.7983234E+05  0.7983308E+05  0.7983398E+05  0.7983503E+05  0.7983624E+05  0.7983759E+05  0.7983910E+05  0.7984076E+05  0.7984257E+05  0.7984453E+05  0.7984666E+05  0.7984895E+05  0.7985140E+05  0.7985403E+05  0.7985684E+05  0.7985985E+05  0.7986306E+05  0.7986649E+05  0.7987016E+05  0.7987410E+05  0.7987834E+05  0.7988292E+05  0.7988788E+05  0.7989329E+05  0.7989922E+05  0.7990572E+05  0.7991264E+05  0.7991614E+05
           14  0.7987881E+05  0.7987941E+05  0.7988041E+05  0.7988073E+05  0.7988000E+05  0.7987887E+05  0.7987820E+05  0.7987787E+05  0.7987779E+05  0.7987791E+05  0.7987820E+05  0.7987863E+05  0.7987919E+05  0.7987989E+05  0.7988070E+05  0.7988164E+05  0.7988270E+05  0.7988389E+05  0.7988519E+05  0.7988662E+05  0.7988817E+05  0.7988985E+05  0.7989165E+05  0.7989358E+05  0.7989564E+05  0.7989784E+05  0.7990018E+05  0.7990266E+05  0.7990530E+05  0.7990809E+05  0.7991105E+05  0.7991420E+05  0.7991755E+05  0.7992112E+05  0.7992495E+05  0.7992908E+05  0.7993356E+05  0.7993848E+05  0.7994393E+05  0.7995021E+05  0.7995713E+05  0.7996064E+05
           15  0.7991400E+05  0.7991537E+05  0.7991774E+05  0.7991924E+05  0.7991971E+05  0.7992015E+05  0.7992100E+05  0.7992180E+05  0.7992259E+05  0.7992338E+05  0.7992421E+05  0.7992508E+05  0.7992601E+05  0.7992700E+05  0.7992807E+05  0.7992921E+05  0.7993044E+05  0.7993175E+05  0.7993315E+05  0.7993464E+05  0.7993623E+05  0.7993790E+05  0.7993968E+05  0.7994156E+05  0.7994353E+05  0.7994560E+05  0.7994778E+05  0.7995007E+05  0.7995246E+05  0.7995495E+05  0.7995756E+05  0.7996029E+05  0.7996313E+05  0.7996610E+05  0.7996921E+05  0.7997247E+05  0.7997591E+05  0.7997957E+05  0.7998352E+05  0.7998875E+05  0.7999518E+05  0.7999846E+05
