     Y                     1              2              3              4              5              6              7              8              9             10             11             12             13             14             15             16             17             18
            1 -0.1898037E+02  0.4421063E+01  0.2782250E+02  0.5122393E+02  0.7462537E+02  0.1575732E+03  0.2405209E+03  0.3234687E+03  0.4064165E+03  0.4893643E+03  0.5723121E+03  0.6552599E+03  0.7382077E+03  0.8211555E+03  0.8449131E+03  0.8686707E+03  0.8924283E+03  0.9161859E+03
            2 -0.1860874E+02  0.5018856E+01  0.2864645E+02  0.5227405E+02  0.7590164E+02  0.1580603E+03  0.2402189E+03  0.3223775E+03  0.4045361E+03  0.4866947E+03  0.5688534E+03  0.6510120E+03  0.7331706E+03  0.8153292E+03  0.8385943E+03  0.8618595E+03  0.8851246E+03  0.9083897E+03
            3 -0.1811021E+02  0.6032580E+01  0.3017345E+02  0.5429574E+02  0.7836980E+02  0.1591864E+03  0.2399809E+03  0.3207743E+03  0.4015775E+03  0.4823944E+03  0.5632289E+03  0.6440968E+03  0.7250518E+03  0.8062772E+03  0.8289088E+03  0.8516595E+03  0.8744986E+03  0.8974199E+03
            4 -0.1778123E+02  0.6885188E+01  0.3155729E+02  0.5621775E+02  0.8084398E+02  0.1603258E+03  0.2397436E+03  0.3191658E+03  0.3986119E+03  0.4780848E+03  0.5575869E+03  0.6371342E+03  0.7167765E+03  0.7966145E+03  0.8188393E+03  0.8412051E+03  0.8636826E+03  0.8862760E+03
            5 -0.1759992E+02  0.7665976E+01  0.3294935E+02  0.5823569E+02  0.8350296E+02  0.1615018E+03  0.2395038E+03  0.3175446E+03  0.3956320E+03  0.4737598E+03  0.5519207E+03  0.6301197E+03  0.7083909E+03  0.7868016E+03  0.8086699E+03  0.8306726E+03  0.8527843E+03  0.8750221E+03
            6 -0.1759362E+02  0.8317158E+01  0.3425845E+02  0.6021859E+02  0.8618326E+02  0.1626762E+03  0.2392426E+03  0.3158981E+03  0.3926306E+03  0.4694172E+03  0.5462339E+03  0.6230661E+03  0.6999286E+03  0.7769371E+03  0.7983822E+03  0.8199417E+03  0.8415962E+03  0.8633706E+03
            7 -0.1778084E+02  0.8826306E+01  0.3547791E+02  0.6216501E+02  0.8888513E+02  0.1638102E+03  0.2389328E+03  0.3142098E+03  0.3895999E+03  0.4650584E+03  0.5405388E+03  0.6159959E+03  0.6913872E+03  0.7666488E+03  0.7875579E+03  0.8085212E+03  0.8295492E+03  0.8506652E+03
            8 -0.1817859E+02  0.9134863E+01  0.3650836E+02  0.6393630E+02  0.9142530E+02  0.1648363E+03  0.2385387E+03  0.3124598E+03  0.3865321E+03  0.4606878E+03  0.5348564E+03  0.6089614E+03  0.6829159E+03  0.7566094E+03  0.7768370E+03  0.7970776E+03  0.8173469E+03  0.8376615E+03
            9 -0.1880819E+02  0.9215302E+01  0.3731726E+02  0.6549631E+02  0.9377003E+02  0.1657038E+03  0.2380250E+03  0.3106272E+03  0.3834186E+03  0.4563102E+03  0.5292084E+03  0.6020085E+03  0.6745851E+03  0.7467788E+03  0.7662102E+03  0.7856227E+03  0.8050302E+03  0.8244438E+03
           10 -0.1969099E+02  0.9030819E+01  0.3785475E+02  0.6678104E+02  0.9582902E+02  0.1663606E+03  0.2373574E+03  0.3086908E+03  0.3802502E+03  0.4519289E+03  0.5236142E+03  0.5951773E+03  0.6664608E+03  0.7372635E+03  0.7558128E+03  0.7743186E+03  0.7927927E+03  0.8112407E+03
           11 -0.2087176E+02  0.8534089E+01  0.3807141E+02  0.6773835E+02  0.9754279E+02  0.1667630E+03  0.2365044E+03  0.3066296E+03  0.3770158E+03  0.4475438E+03  0.5180872E+03  0.5884990E+03  0.6585967E+03  0.7281440E+03  0.7457635E+03  0.7633196E+03  0.7808223E+03  0.7982714E+03
           12 -0.2242019E+02  0.7666266E+01  0.3791576E+02  0.6832421E+02  0.9888701E+02  0.1668786E+03  0.2354388E+03  0.3044232E+03  0.3737023E+03  0.4431503E+03  0.5126332E+03  0.5819938E+03  0.6510331E+03  0.7194849E+03  0.7361680E+03  0.7527734E+03  0.7693089E+03  0.7857676E+03
           13 -0.2442233E+02  0.6347027E+01  0.3731585E+02  0.6847593E+02  0.9982984E+02  0.1666785E+03  0.2341360E+03  0.3020515E+03  0.3702938E+03  0.4387372E+03  0.5072476E+03  0.5756674E+03  0.6437934E+03  0.7113413E+03  0.7271346E+03  0.7428416E+03  0.7584683E+03  0.7740027E+03
           14 -0.2692690E+02  0.4542277E+01  0.3624741E+02  0.6817500E+02  0.1003285E+03  0.1661365E+03  0.2325744E+03  0.2994942E+03  0.3667710E+03  0.4342859E+03  0.5019134E+03  0.5695068E+03  0.6368766E+03  0.7037534E+03  0.7187489E+03  0.7336615E+03  0.7484919E+03  0.7632250E+03
           15 -0.3000603E+02  0.2191968E+01  0.3466490E+02  0.6738837E+02  0.1003504E+03  0.1652363E+03  0.2307372E+03  0.2967319E+03  0.3631111E+03  0.4297698E+03  0.4965988E+03  0.5634741E+03  0.6302400E+03  0.6966869E+03  0.7110070E+03  0.7252673E+03  0.7394573E+03  0.7535607E+03
           16 -0.3373455E+02 -0.7614454E+00  0.3253354E+02  0.6611123E+02  0.9993854E+02  0.1639810E+03  0.2286133E+03  0.2937457E+03  0.3592882E+03  0.4251541E+03  0.4912573E+03  0.5575049E+03  0.6237886E+03  0.6899756E+03  0.7038060E+03  0.7176009E+03  0.7313438E+03  0.7450177E+03
           17 -0.3818130E+02 -0.4367666E+01  0.2982691E+02  0.6434895E+02  0.9914473E+02  0.1623800E+03  0.2261951E+03  0.2905172E+03  0.3552736E+03  0.4203978E+03  0.4858300E+03  0.5515145E+03  0.6173943E+03  0.6834075E+03  0.6969973E+03  0.7105632E+03  0.7240870E+03  0.7375508E+03
           18 -0.4338601E+02 -0.8656423E+01  0.2652728E+02  0.6209670E+02  0.9797844E+02  0.1604337E+03  0.2234736E+03  0.2870280E+03  0.3510375E+03  0.4154556E+03  0.4802504E+03  0.5454059E+03  0.6109195E+03  0.6767977E+03  0.6903972E+03  0.7039855E+03  0.7175450E+03  0.7310595E+03
           19 -0.4941251E+02 -0.1368043E+02  0.2259532E+02  0.5932480E+02  0.9641580E+02  0.1581337E+03  0.2204390E+03  0.2832611E+03  0.3465514E+03  0.4102820E+03  0.4744491E+03  0.5390765E+03  0.6042195E+03  0.6699635E+03  0.6838137E+03  0.6976690E+03  0.7115059E+03  0.7253077E+03
           20 -0.5642204E+02 -0.1956948E+02  0.1793637E+02  0.5597043E+02  0.9442097E+02  0.1554716E+03  0.2170846E+03  0.2792033E+03  0.3417908E+03  0.4048358E+03  0.4683594E+03  0.5324231E+03  0.5971404E+03  0.6626910E+03  0.6770239E+03  0.6913912E+03  0.7057592E+03  0.7201091E+03
           21 -0.6447834E+02 -0.2635320E+02  0.1254853E+02  0.5205434E+02  0.9203059E+02  0.1524562E+03  0.2134113E+03  0.2748488E+03  0.3367398E+03  0.3990851E+03  0.4619248E+03  0.5253509E+03  0.5895240E+03  0.6546981E+03  0.6697934E+03  0.6849421E+03  0.7001088E+03  0.7152720E+03
           22 -0.7368068E+02 -0.3404103E+02  0.6457965E+01  0.4761023E+02  0.8927790E+02  0.1491017E+03  0.2094279E+03  0.2702022E+03  0.3313953E+03  0.3930138E+03  0.4551091E+03  0.5177910E+03  0.5812501E+03  0.6457899E+03  0.6619071E+03  0.6781390E+03  0.6944074E+03  0.7106870E+03
           23 -0.8406031E+02 -0.4259189E+02 -0.2802263E+00  0.4267507E+02  0.8616125E+02  0.1454192E+03  0.2051509E+03  0.2652802E+03  0.3257707E+03  0.3866279E+03  0.4479049E+03  0.5097149E+03  0.5722539E+03  0.6358408E+03  0.6532306E+03  0.6708385E+03  0.6885075E+03  0.7062077E+03
           24 -0.9543963E+02 -0.5185815E+02 -0.7554158E+01  0.3730597E+02  0.8265776E+02  0.1414209E+03  0.2006080E+03  0.2601159E+03  0.3198998E+03  0.3799598E+03  0.4403418E+03  0.5011465E+03  0.5625469E+03  0.6248242E+03  0.6437968E+03  0.6630352E+03  0.6823618E+03  0.7017438E+03
           25 -0.1075934E+03 -0.6166823E+02 -0.1523986E+02  0.3156594E+02  0.7871999E+02  0.1371335E+03  0.1958456E+03  0.2547628E+03  0.3138398E+03  0.3730710E+03  0.4324891E+03  0.4921695E+03  0.5522376E+03  0.6128856E+03  0.6337181E+03  0.6547912E+03  0.6759729E+03  0.6972334E+03
