     Y                     1              2              3              4              5              6              7              8              9             10             11             12             13             14             15             16             17             18             19             20             21             22             23             24             25             26             27             28             29             30             31             32             33             34             35             36             37             38             39             40             41             42
            1  0.1206378E+06  0.1206525E+06  0.1206820E+06  0.1207115E+06  0.1207411E+06  0.1207669E+06  0.1207891E+06  0.1208112E+06  0.1208334E+06  0.1208556E+06  0.1208777E+06  0.1208999E+06  0.1209220E+06  0.1209442E+06  0.1209664E+06  0.1209885E+06  0.1210107E+06  0.1210329E+06  0.1210550E+06  0.1210772E+06  0.1210994E+06  0.1211215E+06  0.1211437E+06  0.1211659E+06  0.1211880E+06  0.1212102E+06  0.1212324E+06  0.1212545E+06  0.1212767E+06  0.1212989E+06  0.1213210E+06  0.1213432E+06  0.1213653E+06  0.1213875E+06  0.1214097E+06  0.1214318E+06  0.1214540E+06  0.1214762E+06  0.1214983E+06  0.1215185E+06  0.1215367E+06  0.1215457E+06
            2  0.1206361E+06  0.1206508E+06  0.1206803E+06  0.1207098E+06  0.1207394E+06  0.1207652E+06  0.1207874E+06  0.1208095E+06  0.1208317E+06  0.1208538E+06  0.1208760E+06  0.1208982E+06  0.1209203E+06  0.1209425E+06  0.1209647E+06  0.1209868E+06  0.1210090E+06  0.1210312E+06  0.1210533E+06  0.1210755E+06  0.1210977E+06  0.1211198E+06  0.1211420E+06  0.1211642E+06  0.1211863E+06  0.1212085E+06  0.1212307E+06  0.1212528E+06  0.1212750E+06  0.1212972E+06  0.1213193E+06  0.1213415E+06  0.1213636E+06  0.1213858E+06  0.1214080E+06  0.1214301E+06  0.1214523E+06  0.1214745E+06  0.1214966E+06  0.1215168E+06  0.1215350E+06  0.1215440E+06
            3  0.1206319E+06  0.1206467E+06  0.1206765E+06  0.1207060E+06  0.1207353E+06  0.1207611E+06  0.1207834E+06  0.1208058E+06  0.1208281E+06  0.1208503E+06  0.1208725E+06  0.1208947E+06  0.1209169E+06  0.1209390E+06  0.1209611E+06  0.1209832E+06  0.1210053E+06  0.1210273E+06  0.1210494E+06  0.1210714E+06  0.1210935E+06  0.1211155E+06  0.1211375E+06  0.1211595E+06  0.1211816E+06  0.1212036E+06  0.1212257E+06  0.1212477E+06  0.1212698E+06  0.1212918E+06  0.1213139E+06  0.1213360E+06  0.1213582E+06  0.1213804E+06  0.1214026E+06  0.1214249E+06  0.1214472E+06  0.1214696E+06  0.1214921E+06  0.1215125E+06  0.1215306E+06  0.1215397E+06
            4  0.1206271E+06  0.1206423E+06  0.1206724E+06  0.1207019E+06  0.1207307E+06  0.1207563E+06  0.1207793E+06  0.1208020E+06  0.1208245E+06  0.1208469E+06  0.1208692E+06  0.1208914E+06  0.1209135E+06  0.1209355E+06  0.1209575E+06  0.1209794E+06  0.1210013E+06  0.1210231E+06  0.1210449E+06  0.1210667E+06  0.1210885E+06  0.1211102E+06  0.1211320E+06  0.1211537E+06  0.1211755E+06  0.1211972E+06  0.1212190E+06  0.1212408E+06  0.1212626E+06  0.1212845E+06  0.1213064E+06  0.1213283E+06  0.1213504E+06  0.1213725E+06  0.1213948E+06  0.1214172E+06  0.1214398E+06  0.1214628E+06  0.1214861E+06  0.1215067E+06  0.1215245E+06  0.1215335E+06
            5  0.1206263E+06  0.1206412E+06  0.1206707E+06  0.1206997E+06  0.1207281E+06  0.1207538E+06  0.1207768E+06  0.1207996E+06  0.1208222E+06  0.1208445E+06  0.1208667E+06  0.1208888E+06  0.1209107E+06  0.1209326E+06  0.1209543E+06  0.1209760E+06  0.1209976E+06  0.1210191E+06  0.1210406E+06  0.1210621E+06  0.1210836E+06  0.1211050E+06  0.1211264E+06  0.1211479E+06  0.1211693E+06  0.1211907E+06  0.1212122E+06  0.1212336E+06  0.1212551E+06  0.1212767E+06  0.1212983E+06  0.1213200E+06  0.1213417E+06  0.1213636E+06  0.1213856E+06  0.1214077E+06  0.1214300E+06  0.1214526E+06  0.1214756E+06  0.1214959E+06  0.1215136E+06  0.1215226E+06
            6  0.1206293E+06  0.1206435E+06  0.1206719E+06  0.1207002E+06  0.1207282E+06  0.1207536E+06  0.1207764E+06  0.1207990E+06  0.1208213E+06  0.1208434E+06  0.1208654E+06  0.1208871E+06  0.1209088E+06  0.1209303E+06  0.1209517E+06  0.1209730E+06  0.1209943E+06  0.1210155E+06  0.1210366E+06  0.1210578E+06  0.1210788E+06  0.1210999E+06  0.1211209E+06  0.1211420E+06  0.1211630E+06  0.1211841E+06  0.1212051E+06  0.1212262E+06  0.1212473E+06  0.1212685E+06  0.1212897E+06  0.1213109E+06  0.1213322E+06  0.1213536E+06  0.1213751E+06  0.1213966E+06  0.1214182E+06  0.1214398E+06  0.1214615E+06  0.1214814E+06  0.1214996E+06  0.1215087E+06
            7  0.1206315E+06  0.1206457E+06  0.1206741E+06  0.1207023E+06  0.1207301E+06  0.1207553E+06  0.1207779E+06  0.1208002E+06  0.1208222E+06  0.1208438E+06  0.1208653E+06  0.1208866E+06  0.1209078E+06  0.1209289E+06  0.1209498E+06  0.1209707E+06  0.1209915E+06  0.1210122E+06  0.1210329E+06  0.1210536E+06  0.1210743E+06  0.1210949E+06  0.1211155E+06  0.1211361E+06  0.1211567E+06  0.1211773E+06  0.1211979E+06  0.1212186E+06  0.1212392E+06  0.1212599E+06  0.1212806E+06  0.1213014E+06  0.1213222E+06  0.1213431E+06  0.1213640E+06  0.1213849E+06  0.1214059E+06  0.1214269E+06  0.1214480E+06  0.1214677E+06  0.1214862E+06  0.1214955E+06
            8  0.1206326E+06  0.1206475E+06  0.1206773E+06  0.1207069E+06  0.1207360E+06  0.1207613E+06  0.1207828E+06  0.1208040E+06  0.1208250E+06  0.1208459E+06  0.1208666E+06  0.1208872E+06  0.1209077E+06  0.1209282E+06  0.1209485E+06  0.1209689E+06  0.1209891E+06  0.1210093E+06  0.1210295E+06  0.1210497E+06  0.1210698E+06  0.1210900E+06  0.1211101E+06  0.1211302E+06  0.1211503E+06  0.1211704E+06  0.1211906E+06  0.1212107E+06  0.1212309E+06  0.1212511E+06  0.1212713E+06  0.1212915E+06  0.1213118E+06  0.1213321E+06  0.1213525E+06  0.1213729E+06  0.1213933E+06  0.1214138E+06  0.1214344E+06  0.1214539E+06  0.1214726E+06  0.1214820E+06
            9  0.1206333E+06  0.1206491E+06  0.1206809E+06  0.1207126E+06  0.1207442E+06  0.1207698E+06  0.1207896E+06  0.1208094E+06  0.1208292E+06  0.1208490E+06  0.1208688E+06  0.1208886E+06  0.1209083E+06  0.1209280E+06  0.1209477E+06  0.1209674E+06  0.1209871E+06  0.1210067E+06  0.1210263E+06  0.1210459E+06  0.1210655E+06  0.1210851E+06  0.1211047E+06  0.1211243E+06  0.1211439E+06  0.1211635E+06  0.1211831E+06  0.1212027E+06  0.1212224E+06  0.1212420E+06  0.1212617E+06  0.1212814E+06  0.1213011E+06  0.1213209E+06  0.1213407E+06  0.1213605E+06  0.1213803E+06  0.1214002E+06  0.1214201E+06  0.1214394E+06  0.1214583E+06  0.1214678E+06
           10  0.1206337E+06  0.1206504E+06  0.1206838E+06  0.1207175E+06  0.1207513E+06  0.1207775E+06  0.1207961E+06  0.1208148E+06  0.1208335E+06  0.1208524E+06  0.1208712E+06  0.1208902E+06  0.1209091E+06  0.1209281E+06  0.1209471E+06  0.1209661E+06  0.1209851E+06  0.1210042E+06  0.1210232E+06  0.1210422E+06  0.1210613E+06  0.1210803E+06  0.1210993E+06  0.1211184E+06  0.1211374E+06  0.1211565E+06  0.1211756E+06  0.1211946E+06  0.1212137E+06  0.1212328E+06  0.1212519E+06  0.1212711E+06  0.1212902E+06  0.1213094E+06  0.1213286E+06  0.1213478E+06  0.1213671E+06  0.1213864E+06  0.1214057E+06  0.1214248E+06  0.1214439E+06  0.1214534E+06
