     zb                    1              2              3              4              5              6              7              8              9             10             11             12             13             14             15             16             17             18             19             20             21             22             23             24             25             26             27             28             29             30             31             32             33             34             35             36             37             38             39             40             41             42
            1  0.2188470E+02  0.1550949E+02  0.1534599E+02  0.1559948E+02  0.1575288E+02  0.1452493E+02  0.1217293E+02  0.1138020E+02  0.1194298E+02  0.1142199E+02  0.1212163E+02  0.9528308E+01  0.9583903E+01  0.1217004E+02  0.1258400E+02  0.1241453E+02  0.1299599E+02  0.1322091E+02  0.1305881E+02  0.1336296E+02  0.9025690E+01  0.9130109E+01  0.9816115E+01  0.1082545E+02  0.1218442E+02  0.1225883E+02  0.1233877E+02  0.1205067E+02  0.1059414E+02  0.7923219E+01  0.7522696E+01  0.9509196E+01  0.8418501E+01  0.6169924E+01  0.6278491E+01  0.6867576E+01  0.7861263E+01  0.9208755E+01  0.1147833E+02  0.1248723E+02  0.1780565E+02  0.2216504E+02
            2  0.2183970E+02  0.1546449E+02  0.1530099E+02  0.1555448E+02  0.1570788E+02  0.1447993E+02  0.1212793E+02  0.1133520E+02  0.1189798E+02  0.1137699E+02  0.1207663E+02  0.9483308E+01  0.9538903E+01  0.1212504E+02  0.1253900E+02  0.1236953E+02  0.1295099E+02  0.1317591E+02  0.1301381E+02  0.1331796E+02  0.8980690E+01  0.9085109E+01  0.9771115E+01  0.1078045E+02  0.1213942E+02  0.1221383E+02  0.1229377E+02  0.1200567E+02  0.1054914E+02  0.7878219E+01  0.7477696E+01  0.9464196E+01  0.8373501E+01  0.6124924E+01  0.6233491E+01  0.6822576E+01  0.7816263E+01  0.9163755E+01  0.1143333E+02  0.1244223E+02  0.1776065E+02  0.2212004E+02
            3  0.2179470E+02  0.1541949E+02  0.1525599E+02  0.1550948E+02  0.1566288E+02  0.1443493E+02  0.1208293E+02  0.1129020E+02  0.1185298E+02  0.1133199E+02  0.1203163E+02  0.9438308E+01  0.9493903E+01  0.1208004E+02  0.1249400E+02  0.1232453E+02  0.1290599E+02  0.1313091E+02  0.1296881E+02  0.1327296E+02  0.8935690E+01  0.9040109E+01  0.9726115E+01  0.1073545E+02  0.1209442E+02  0.1216883E+02  0.1224877E+02  0.1196067E+02  0.1050414E+02  0.7833219E+01  0.7432696E+01  0.9419196E+01  0.8328501E+01  0.6079924E+01  0.6188491E+01  0.6777576E+01  0.7771263E+01  0.9118755E+01  0.1138833E+02  0.1239723E+02  0.1771565E+02  0.2207504E+02
            4  0.2174970E+02  0.1537449E+02  0.1521099E+02  0.1546448E+02  0.1561788E+02  0.1438993E+02  0.1203793E+02  0.1124520E+02  0.1180798E+02  0.1128699E+02  0.1198663E+02  0.9393308E+01  0.9448903E+01  0.1203504E+02  0.1244900E+02  0.1227953E+02  0.1286099E+02  0.1308591E+02  0.1292381E+02  0.1322796E+02  0.8890690E+01  0.8995109E+01  0.9681115E+01  0.1069045E+02  0.1204942E+02  0.1212383E+02  0.1220377E+02  0.1191567E+02  0.1045914E+02  0.7788219E+01  0.7387696E+01  0.9374196E+01  0.8283501E+01  0.6034924E+01  0.6143491E+01  0.6732576E+01  0.7726263E+01  0.9073755E+01  0.1134333E+02  0.1235223E+02  0.1767065E+02  0.2203004E+02
            5  0.2170470E+02  0.1532949E+02  0.1516599E+02  0.1541948E+02  0.1557288E+02  0.1434493E+02  0.1199293E+02  0.1120020E+02  0.1176298E+02  0.1124199E+02  0.1194163E+02  0.9348308E+01  0.9403903E+01  0.1199004E+02  0.1240400E+02  0.1223453E+02  0.1281599E+02  0.1304091E+02  0.1287881E+02  0.1318296E+02  0.8845690E+01  0.8950109E+01  0.9636115E+01  0.1064545E+02  0.1200442E+02  0.1207883E+02  0.1215877E+02  0.1187067E+02  0.1041414E+02  0.7743219E+01  0.7342696E+01  0.9329196E+01  0.8238501E+01  0.5989924E+01  0.6098491E+01  0.6687576E+01  0.7681263E+01  0.9028755E+01  0.1129833E+02  0.1230723E+02  0.1762565E+02  0.2198504E+02
            6  0.2163056E+02  0.1851792E+02  0.1498745E+02  0.1520541E+02  0.1554695E+02  0.1477162E+02  0.1238909E+02  0.1202618E+02  0.1229615E+02  0.1176922E+02  0.1229816E+02  0.1070925E+02  0.1017003E+02  0.1162046E+02  0.1239867E+02  0.1216623E+02  0.1213549E+02  0.1159115E+02  0.1167816E+02  0.1119656E+02  0.9007201E+01  0.8979737E+01  0.1097941E+02  0.1085124E+02  0.1163542E+02  0.1166526E+02  0.1182405E+02  0.1117868E+02  0.1027721E+02  0.7405768E+01  0.9325552E+01  0.9176014E+01  0.7143357E+01  0.6610334E+01  0.5861699E+01  0.6209861E+01  0.6886003E+01  0.8274954E+01  0.1145890E+02  0.1283182E+02  0.1831937E+02  0.2188171E+02
            7  0.2157875E+02  0.1572001E+02  0.1480327E+02  0.1499555E+02  0.1552965E+02  0.1518417E+02  0.1277759E+02  0.1263628E+02  0.1238585E+02  0.1243998E+02  0.1264941E+02  0.1185175E+02  0.1092706E+02  0.1157651E+02  0.1239345E+02  0.1210056E+02  0.1122031E+02  0.1016859E+02  0.1039178E+02  0.1040256E+02  0.9165590E+01  0.8944179E+01  0.1189436E+02  0.1105307E+02  0.1137550E+02  0.1125845E+02  0.1149588E+02  0.1092760E+02  0.1014291E+02  0.8269955E+01  0.9233749E+01  0.9026233E+01  0.7415489E+01  0.7214958E+01  0.5631418E+01  0.5747483E+01  0.6121691E+01  0.7557230E+01  0.1160936E+02  0.1332245E+02  0.1897603E+02  0.2178354E+02
            8  0.1857744E+02  0.1545050E+02  0.1456320E+02  0.1482012E+02  0.1525839E+02  0.1360853E+02  0.1327378E+02  0.1276560E+02  0.1231001E+02  0.1254389E+02  0.1279596E+02  0.1273135E+02  0.1084173E+02  0.1156781E+02  0.1236441E+02  0.1214345E+02  0.1034013E+02  0.8793046E+01  0.9164748E+01  0.9628722E+01  0.9318609E+01  0.8864590E+01  0.1278852E+02  0.1124974E+02  0.1112058E+02  0.1086056E+02  0.1133657E+02  0.1068183E+02  0.1001163E+02  0.9115152E+01  0.9144118E+01  0.8879904E+01  0.7680807E+01  0.7804381E+01  0.5407525E+01  0.5297863E+01  0.5770234E+01  0.6858864E+01  0.1038441E+02  0.1380304E+02  0.1962099E+02  0.2168695E+02
            9  0.2170211E+02  0.1862537E+02  0.1428911E+02  0.1469351E+02  0.1487535E+02  0.1319572E+02  0.1332193E+02  0.1247579E+02  0.1200957E+02  0.1226309E+02  0.1266938E+02  0.1247115E+02  0.1135081E+02  0.1208974E+02  0.1191940E+02  0.1191077E+02  0.1011914E+02  0.9426905E+01  0.9457800E+01  0.9800381E+01  0.9481306E+01  0.9134855E+01  0.1271713E+02  0.1245399E+02  0.1103345E+02  0.1064250E+02  0.1092590E+02  0.1026511E+02  0.9749004E+01  0.9300729E+01  0.9154170E+01  0.8778311E+01  0.7327524E+01  0.7430873E+01  0.5368863E+01  0.5133409E+01  0.5323705E+01  0.6499921E+01  0.1005021E+02  0.1405263E+02  0.1910286E+02  0.2154396E+02
           10  0.2175152E+02  0.1469975E+02  0.1414522E+02  0.1470052E+02  0.1419334E+02  0.1403102E+02  0.1241760E+02  0.1198710E+02  0.1151058E+02  0.1221252E+02  0.1246209E+02  0.1216138E+02  0.1161899E+02  0.1206960E+02  0.1177977E+02  0.1109943E+02  0.1058894E+02  0.9984934E+01  0.9962996E+01  0.1007105E+02  0.9760005E+01  0.9455626E+01  0.1233998E+02  0.1210554E+02  0.1099983E+02  0.1038891E+02  0.1047092E+02  0.9788053E+01  0.9436092E+01  0.9192812E+01  0.9208251E+01  0.8698527E+01  0.6708760E+01  0.6650928E+01  0.5407222E+01  0.5081838E+01  0.4928370E+01  0.6247192E+01  0.9578580E+01  0.1282587E+02  0.1834062E+02  0.2139710E+02
