IMAX,JMAX,KMAX
37,9,2
I,J,K,X,Y,Z
0,0,0,0,-0.15,0
1,0,0,0.0858901,-0.16045,-0.001
2,0,0,0.170855,-0.191301,-0.002
3,0,0,0.255914,-0.242125,-0.004
4,0,0,0.34292,-0.308098,-0.005
5,0,0,0.43692,-0.387098,-0.006
6,0,0,0.543914,-0.468125,-0.007
7,0,0,0.668855,-0.542301,-0.009
8,0,0,0.81289,-0.59445,-0.01
9,0,0,0.97,-0.613,-0.011
10,0,0,1.12688,-0.593506,-0.012
11,0,0,1.27114,-0.542301,-0.013
12,0,0,1.39609,-0.468125,-0.015
13,0,0,1.50357,-0.386695,-0.016
14,0,0,1.59708,-0.308098,-0.017
15,0,0,1.68409,-0.242125,-0.018
16,0,0,1.76914,-0.191301,-0.02
17,0,0,1.85411,-0.16045,-0.021
18,0,0,1.94,-0.15,-0.022
19,0,0,2.02589,-0.160451,-0.023
20,0,0,2.11086,-0.191301,-0.024
21,0,0,2.19591,-0.242125,-0.026
22,0,0,2.28292,-0.308098,-0.027
23,0,0,2.37692,-0.387098,-0.028
24,0,0,2.48391,-0.468125,-0.029
25,0,0,2.60886,-0.5423,-0.031
26,0,0,2.75289,-0.594451,-0.032
27,0,0,2.91,-0.613,-0.033
28,0,0,3.06688,-0.593507,-0.034
29,0,0,3.21114,-0.542301,-0.035
30,0,0,3.33609,-0.468125,-0.037
31,0,0,3.44357,-0.386695,-0.038
32,0,0,3.53708,-0.308098,-0.039
33,0,0,3.62409,-0.242125,-0.04
34,0,0,3.70914,-0.1913,-0.042
35,0,0,3.79411,-0.160451,-0.043
36,0,0,3.88,-0.15,-0.044
0,1,0,0,-0.1125,0
1,1,0,0.0947788,-0.124019,-0.001
2,1,0,0.187123,-0.157513,-0.002
3,1,0,0.277175,-0.211234,-0.004
4,1,0,0.36668,-0.279086,-0.005
5,1,0,0.46068,-0.358086,-0.006
6,1,0,0.565175,-0.437234,-0.007
7,1,0,0.685123,-0.508513,-0.009
8,1,0,0.821779,-0.558019,-0.01
9,1,0,0.97,-0.5755,-0.011
10,1,0,1.11802,-0.557068,-0.012
11,1,0,1.25488,-0.508513,-0.013
12,1,0,1.37483,-0.437234,-0.015
13,1,0,1.47975,-0.357733,-0.016
14,1,0,1.57332,-0.279086,-0.017
15,1,0,1.66283,-0.211234,-0.018
16,1,0,1.75288,-0.157513,-0.02
17,1,0,1.84522,-0.124019,-0.021
18,1,0,1.94,-0.1125,-0.022
19,1,0,2.03478,-0.124019,-0.023
20,1,0,2.12712,-0.157513,-0.024
21,1,0,2.21717,-0.211234,-0.026
22,1,0,2.30668,-0.279086,-0.027
23,1,0,2.40068,-0.358086,-0.028
24,1,0,2.50517,-0.437234,-0.029
25,1,0,2.62512,-0.508513,-0.031
26,1,0,2.76178,-0.558019,-0.032
27,1,0,2.91,-0.5755,-0.033
28,1,0,3.05802,-0.557068,-0.034
29,1,0,3.19488,-0.508513,-0.035
30,1,0,3.31483,-0.437234,-0.037
31,1,0,3.41975,-0.357733,-0.038
32,1,0,3.51332,-0.279086,-0.039
33,1,0,3.60283,-0.211234,-0.04
34,1,0,3.69288,-0.157513,-0.042
35,1,0,3.78522,-0.124019,-0.043
36,1,0,3.88,-0.1125,-0.044
0,2,0,0,-0.075,0
1,2,0,0.103668,-0.0875879,-0.001
2,2,0,0.203391,-0.123725,-0.002
3,2,0,0.298435,-0.180344,-0.004
4,2,0,0.39044,-0.250074,-0.005
5,2,0,0.48444,-0.329074,-0.006
6,2,0,0.586435,-0.406344,-0.007
7,2,0,0.701392,-0.474725,-0.009
8,2,0,0.830668,-0.521588,-0.01
9,2,0,0.97,-0.538,-0.011
10,2,0,1.10916,-0.52063,-0.012
11,2,0,1.23861,-0.474725,-0.013
12,2,0,1.35356,-0.406344,-0.015
13,2,0,1.45593,-0.328771,-0.016
14,2,0,1.54956,-0.250073,-0.017
15,2,0,1.64156,-0.180344,-0.018
16,2,0,1.73661,-0.123725,-0.02
17,2,0,1.83633,-0.0875879,-0.021
18,2,0,1.94,-0.075,-0.022
19,2,0,2.04367,-0.0875879,-0.023
20,2,0,2.14339,-0.123725,-0.024
21,2,0,2.23844,-0.180344,-0.026
22,2,0,2.33044,-0.250073,-0.027
23,2,0,2.42444,-0.329074,-0.028
24,2,0,2.52644,-0.406344,-0.029
25,2,0,2.64139,-0.474725,-0.031
26,2,0,2.77067,-0.521588,-0.032
27,2,0,2.91,-0.538,-0.033
28,2,0,3.04916,-0.52063,-0.034
29,2,0,3.17861,-0.474725,-0.035
30,2,0,3.29356,-0.406344,-0.037
31,2,0,3.39593,-0.328771,-0.038
32,2,0,3.48956,-0.250073,-0.039
33,2,0,3.58156,-0.180344,-0.04
34,2,0,3.67661,-0.123725,-0.042
35,2,0,3.77633,-0.0875879,-0.043
36,2,0,3.88,-0.075,-0.044
0,3,0,0,-0.0375,0
1,3,0,0.112556,-0.0511566,-0.001
2,3,0,0.21966,-0.0899378,-0.002
3,3,0,0.319696,-0.149453,-0.004
4,3,0,0.4142,-0.221061,-0.005
5,3,0,0.5082,-0.300061,-0.006
6,3,0,0.607696,-0.375453,-0.007
7,3,0,0.71766,-0.440938,-0.009
8,3,0,0.839556,-0.485157,-0.01
9,3,0,0.97,-0.5005,-0.011
10,3,0,1.1003,-0.484192,-0.012
11,3,0,1.22234,-0.440938,-0.013
12,3,0,1.3323,-0.375453,-0.015
13,3,0,1.43211,-0.299809,-0.016
14,3,0,1.5258,-0.221061,-0.017
15,3,0,1.6203,-0.149453,-0.018
16,3,0,1.72034,-0.0899378,-0.02
17,3,0,1.82744,-0.0511566,-0.021
18,3,0,1.94,-0.0375,-0.022
19,3,0,2.05256,-0.0511566,-0.023
20,3,0,2.15966,-0.0899378,-0.024
21,3,0,2.2597,-0.149453,-0.026
22,3,0,2.3542,-0.221061,-0.027
23,3,0,2.4482,-0.300061,-0.028
24,3,0,2.5477,-0.375453,-0.029
25,3,0,2.65766,-0.440938,-0.031
26,3,0,2.77956,-0.485157,-0.032
27,3,0,2.91,-0.5005,-0.033
28,3,0,3.0403,-0.484192,-0.034
29,3,0,3.16234,-0.440938,-0.035
30,3,0,3.2723,-0.375453,-0.037
31,3,0,3.37211,-0.299809,-0.038
32,3,0,3.4658,-0.221061,-0.039
33,3,0,3.5603,-0.149453,-0.04
34,3,0,3.66034,-0.0899378,-0.042
35,3,0,3.76744,-0.0511566,-0.043
36,3,0,3.88,-0.0375,-0.044
0,4,0,0,-2.98023e-009,0
1,4,0,0.121445,-0.0147252,-0.001
2,4,0,0.235928,-0.0561503,-0.002
3,4,0,0.340957,-0.118562,-0.004
4,4,0,0.43796,-0.192049,-0.005
5,4,0,0.53196,-0.271049,-0.006
6,4,0,0.628957,-0.344563,-0.007
7,4,0,0.733928,-0.40715,-0.009
8,4,0,0.848445,-0.448725,-0.01
9,4,0,0.97,-0.463,-0.011
10,4,0,1.09144,-0.447753,-0.012
11,4,0,1.20607,-0.40715,-0.013
12,4,0,1.31104,-0.344562,-0.015
13,4,0,1.40829,-0.270847,-0.016
14,4,0,1.50204,-0.192049,-0.017
15,4,0,1.59904,-0.118562,-0.018
16,4,0,1.70407,-0.0561503,-0.02
17,4,0,1.81855,-0.0147252,-0.021
18,4,0,1.94,-2.98023e-009,-0.022
19,4,0,2.06144,-0.0147253,-0.023
20,4,0,2.17593,-0.0561503,-0.024
21,4,0,2.28096,-0.118563,-0.026
22,4,0,2.37796,-0.192049,-0.027
23,4,0,2.47196,-0.271049,-0.028
24,4,0,2.56896,-0.344562,-0.029
25,4,0,2.67393,-0.40715,-0.031
26,4,0,2.78844,-0.448725,-0.032
27,4,0,2.91,-0.463,-0.033
28,4,0,3.03144,-0.447753,-0.034
29,4,0,3.14607,-0.40715,-0.035
30,4,0,3.25104,-0.344562,-0.037
31,4,0,3.34829,-0.270847,-0.038
32,4,0,3.44204,-0.192049,-0.039
33,4,0,3.53904,-0.118562,-0.04
34,4,0,3.64407,-0.0561502,-0.042
35,4,0,3.75855,-0.0147253,-0.043
36,4,0,3.88,-2.98023e-009,-0.044
0,5,0,0,0.0375,0
1,5,0,0.130334,0.0217061,-0.001
2,5,0,0.252196,-0.0223627,-0.002
3,5,0,0.362218,-0.0876719,-0.004
4,5,0,0.46172,-0.163037,-0.005
5,5,0,0.55572,-0.242037,-0.006
6,5,0,0.650218,-0.313672,-0.007
7,5,0,0.750196,-0.373363,-0.009
8,5,0,0.857334,-0.412294,-0.01
9,5,0,0.97,-0.4255,-0.011
10,5,0,1.08258,-0.411315,-0.012
11,5,0,1.1898,-0.373363,-0.013
12,5,0,1.28978,-0.313672,-0.015
13,5,0,1.38446,-0.241886,-0.016
14,5,0,1.47828,-0.163037,-0.017
15,5,0,1.57778,-0.0876719,-0.018
