time(s)	stage(m)
0	0.855517268
3600	0.829221902
21600	0.847630963
43200	5.15802561
64800	6.236632103
66600	7.496430836
86400	2.774979436
108000	1.780747007
129600	1.394051388
151200	7.430356329
172800	4.580329805
194400	3.283308232
217800	2.437974098
241200	1.96207322
264600	1.628190963
286200	1.445657756
304200	1.346646963
324000	1.25942361
351000	1.164144829
378000	1.088578963
403200	1.049420732
432000	1.027644817
460800	0.997132927
496800	0.963971902
529200	0.939514927
558000	0.908042146
585000	0.905417988
603000	0.921159646
644400	0.913289805
684000	0.90279361
689400	0.898419159
