time(s)	stage(m)
0	0.855517268
1800	0.827468098
3600	0.829221902
5400	0.83272922
7200	0.824837207
9000	0.822206098
10800	0.819574768
12600	0.807292329
14400	0.808169805
16200	0.81869761
18000	0.828345012
19800	0.825714195
21600	0.847630963
23400	0.892293902
25200	1.016315317
27000	1.158939317
28800	1.378537805
30600	1.605969207
32400	1.846957512
34200	2.153209988
36000	2.322239646
37800	2.616885317
39600	3.090041756
41400	4.057303659
43200	5.15802561
45000	5.911434927
46800	6.487393598
48600	7.187434146
50400	7.709638488
52200	8.273080195
54000	1.293142041
55800	1.319911397
57600	1.423310389
59400	1.695619985
61200	2.709216796
63000	4.697933377
64800	6.236632103
66600	7.496430836
68400	7.609315574
70200	6.96945692
72000	6.350039746
73800	5.72586822
75600	5.113186917
77400	4.5604356
79200	4.096387127
81000	3.679173984
82800	3.327603478
84600	3.003896365
86400	2.774979436
88200	2.535871048
90000	2.394750403
91800	2.278004133
93600	2.194321258
95400	2.110393639
97200	2.059920498
99000	1.992485546
100800	1.967157511
102600	1.92489534
104400	1.874099398
106200	1.823216498
108000	1.780747007
109800	1.738216541
111600	1.6956251
113400	1.67857145
115200	1.627351964
117000	1.584601131
118800	1.550357245
120600	1.507496652
122400	1.490334826
124200	1.46457508
126000	1.447388862
127800	1.410407304
129600	1.394051388
131400	1.357004805
133200	1.335444499
135000	1.302644949
136800	1.302644085
138600	1.273267265
140400	1.244727505
142200	1.252512845
144000	8.61538872
145800	8.363925305
147600	8.080875317
149400	7.749745988
151200	7.430356329
153000	7.125697305
154800	6.800857012
156600	6.474049805
158400	6.191796232
160200	5.918651756
162000	5.658769951
163800	5.429731512
165600	5.199064329
167400	5.041223463
169200	4.870957268
171000	4.720001207
172800	4.580329805
174600	4.446000232
176400	4.310923707
178200	4.192216232
180000	4.073719256
181800	3.951517988
183600	3.854748488
185400	3.740988488
187200	3.633084098
189000	3.54468072
190800	3.44636922
192600	3.355725305
194400	3.283308232
196200	3.20261311
198000	3.124105805
199800	3.067308488
201600	3.002250927
203400	2.893747256
205200	2.856119256
207000	2.783991451
208800	2.71249761
210600	2.650716817
212400	2.594583646
214200	2.539993598
216000	2.496908427
217800	2.437974098
219600	2.394732927
221400	2.348925305
223200	2.317233305
225000	2.282164329
226800	2.246215805
228600	2.208546963
230400	2.166634768
232200	2.136420232
234000	2.107855256
235800	2.072530183
237600	2.043059756
239400	1.995844927
241200	1.96207322
243000	1.940946085
244800	1.889331902
246600	1.857132927
248400	1.82320122
250200	1.796877305
252000	1.757772817
253800	1.714357512
255600	1.714357512
257400	1.697314585
259200	1.680261902
261000	1.654664585
262800	1.629045317
264600	1.628190963
266400	1.612808427
268200	1.594852146
270000	1.57688511
271800	1.558907317
273600	1.54177561
275400	1.527205988
277200	1.516917305
279000	1.499761695
280800	1.482596329
282600	1.472292427
284400	1.45940761
286200	1.445657756
288000	1.43620111
289800	1.42244072
291600	1.416418585
293400	1.409534683
295200	1.396623159
297000	1.381122085
298800	1.371645317
300600	1.362165598
302400	1.352682927
304200	1.346646963
306000	1.340609805
307800	1.33025761
309600	1.324217207
311400	1.317312427
313200	1.310406085
315000	1.297452488
316800	1.291405598
318600	1.284493402
320400	1.274986585
322200	1.268935256
324000	1.25942361
325800	1.253369207
327600	1.24731361
329400	1.237795256
331200	1.231736585
333000	1.22567672
334800	1.219615659
336600	1.210954927
338400	1.204890963
340200	1.198825805
342000	1.192759451
343800	1.187558768
345600	1.185825012
347400	1.175420427
349200	1.170216817
351000	1.164144829
352800	1.158939317
354600	1.15286511
356400	1.147657695
358200	1.144185598
360000	1.136371951
361800	1.131161756
363600	1.125082085
365400	1.122476146
367200	1.11726361
369000	1.112050195
370800	1.106835902
372600	1.101620732
374400	1.098143463
376200	1.093796329
378000	1.088578963
379800	1.085100232
381600	1.082490927
383400	1.077271659
385200	1.074661695
387000	1.072051512
388800	1.06944111
390600	1.064219646
392400	1.058997305
394200	1.058997305
396000	1.057256329
397800	1.054644683
399600	1.052032817
401400	1.052032817
403200	1.049420732
405000	1.049420732
406800	1.045066768
408600	1.045066768
410400	1.044195902
412200	1.041583159
414000	1.041583159
415800	1.038970195
417600	1.035485902
419400	1.035485902
421200	1.035485902
423000	1.032872427
424800	1.030258732
426600	1.030258732
428400	1.030258732
430200	1.027644817
432000	1.027644817
433800	1.027644817
435600	1.027644817
437400	1.027644817
439200	1.025030683
441000	1.022416329
442800	1.019801756
444600	1.017186963
